page,claim_text,claim_strength,study_type,source_doi,practice_studied,is_MoM,theme,null_or_critical,bidmc,reviewer_signoff
/mom-meditation-microsite/research/the-effects-of-mindfulness-meditation-on-nursing-students-stress-and-a/,"Because of the twin demands of classroom and clinical workloads, nursing students experience greater amounts of stress and anxiety than the average college student.",Randomized-trial evidence,RCT,10.1097/01.NEP.0000000000001159,mindfulness / meditation,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/the-effects-of-yoga-compared-to-active-and-inactive-controls-on-physic/,"For HRQoL, significant effects favouring yoga were found compared to inactive controls for: depression (ES = 0.64), perceived mental health (ES = 0.6), perceived physical health (ES = 0.61), sleep quality (ES = 0.65), and vitality (ES = 0.31); compared to active controls: depression (ES = 0.54).",Meta-analytic evidence,Meta-analysis / Systematic review,10.1186/s12966-019-0789-2,yoga,N,Sleep,,N,
/mom-meditation-microsite/research/the-effects-of-yoga-compared-to-active-and-inactive-controls-on-physic/,Results indicate that yoga interventions improve multiple physical function and HRQoL outcomes in this population compared to both control conditions.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1186/s12966-019-0789-2,yoga,N,Sleep,,N,
/mom-meditation-microsite/research/the-effects-of-yoga-compared-to-active-and-inactive-controls-on-physic/,"This study provides robust evidence for promoting yoga in physical activity guidelines for older adults as a multimodal activity that improves aspects of fitness like strength, balance and flexibility, as well as mental wellbeing.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1186/s12966-019-0789-2,yoga,N,Sleep,,N,
/mom-meditation-microsite/research/the-impact-of-mindfulness-meditation-on-the-wandering-mind-a-systemati/,"Through the practice of Mindfulness Meditation (MM), meditators become familiar with the observation of ongoing spontaneous thoughts, while maintaining an attitude of openness and equanimity.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.neubiorev.2021.09.032,mindfulness / meditation,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/the-impact-of-mindfulness-meditation-on-the-wandering-mind-a-systemati/,The aim of this systematic review is to present a synthesis of available findings of the short and long-term effects of MM on mind wandering (MW).,Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.neubiorev.2021.09.032,mindfulness / meditation,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/the-influence-of-mindfulness-meditation-combined-with-progressive-musc/,There were no significant differences in the baseline values of various parameters between the two groups.,Randomized-trial evidence,RCT,10.1186/s12906-024-04485-3,mindfulness / meditation,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/the-meditative-mind-a-comprehensive-meta-analysis-of-mri-studies/,The large amount of data collected thus far allows drawing some conclusions about the neural effects of meditation practice.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1155/2015/419808,yoga,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/the-meditative-mind-a-comprehensive-meta-analysis-of-mri-studies/,"Results indicate that meditation leads to activation in brain areas involved in processing self-relevant information, self-regulation, focused problem-solving, adaptive behavior, and interoception.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1155/2015/419808,yoga,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/the-meditative-mind-a-comprehensive-meta-analysis-of-mri-studies/,These results demonstrate that a biological substrate underlies the positive pervasive effect of meditation practice and suggest that meditation techniques could be adopted in clinical populations and to prevent disease.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1155/2015/419808,yoga,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/the-potential-effects-of-meditation-on-age-related-cognitive-decline-a/,Growing evidence suggests that cognitive training programs may have the potential to counteract this decline.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1111/nyas.12348,mindfulness / meditation,N,Focus & Attention,,N,
/mom-meditation-microsite/research/the-potential-effects-of-meditation-on-age-related-cognitive-decline-a/,"We conclude that meditation interventions for older adults are feasible, and preliminary evidence suggests that meditation can offset age-related cognitive decline.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1111/nyas.12348,mindfulness / meditation,N,Focus & Attention,,N,
/mom-meditation-microsite/research/the-practice-of-hatha-yoga-for-the-treatment-of-pain-associated-with-e/,There was no significant difference between the two groups regarding the diary of menstrual patterns (p = 0.96).,Randomized-trial evidence,RCT,10.1089/acm.2015.0343,yoga,N,Emotional Wellbeing,,N,
/mom-meditation-microsite/research/the-practice-of-hatha-yoga-for-the-treatment-of-pain-associated-with-e/,Yoga practice was associated with a reduction in levels of chronic pelvic pain and an improvement in QoL in women with endometriosis.,Randomized-trial evidence,RCT,10.1089/acm.2015.0343,yoga,N,Emotional Wellbeing,,N,
/mom-meditation-microsite/research/yoga-and-cognition-a-meta-analysis-of-chronic-and-acute-effects/,Yoga practice seems to be associated with moderate improvements in cognitive function.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1097/PSY.0000000000000218,yoga,N,Focus & Attention,,N,
/mom-meditation-microsite/research/yoga-and-heart-rate-variability-a-comprehensive-review-of-the-literatu/,The reviewed studies suggest that yoga can affect cardiac autonomic regulation with increased HRV and vagal dominance during yoga practices.,Randomized-trial evidence,RCT,10.4103/0973-6131.183712,yoga,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/yoga-and-heart-rate-variability-a-comprehensive-review-of-the-literatu/,Regular yoga practitioners were also found to have increased vagal tone at rest compared to non-yoga practitioners.,Randomized-trial evidence,RCT,10.4103/0973-6131.183712,yoga,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/yoga-and-heart-rate-variability-a-comprehensive-review-of-the-literatu/,"It is premature to draw any firm conclusions about yoga and HRV as most studies were of poor quality, with small sample sizes and insufficient reporting of study design and statistical methods.",Randomized-trial evidence,RCT,10.4103/0973-6131.183712,yoga,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/yoga-as-a-therapeutic-approach-to-mental-health-in-university-students/,"The purpose of this study has been to analyze the efficacy of a yoga-based intervention on stress, emotional wellbeing, state anxiety and trait anxiety in university students.",Randomized-trial evidence,RCT,10.3389/fpubh.2024.1406937,yoga,N,Emotional Wellbeing,,N,
/mom-meditation-microsite/research/yoga-as-a-therapeutic-approach-to-mental-health-in-university-students/,This study was a randomized controlled trial.,Randomized-trial evidence,RCT,10.3389/fpubh.2024.1406937,yoga,N,Emotional Wellbeing,,N,
/mom-meditation-microsite/research/yoga-as-an-adjunctive-treatment-for-posttraumatic-stress-disorder-a-ra/,Yoga may improve the functioning of traumatized individuals by helping them to tolerate physical and sensory experiences associated with fear and helplessness and to increase emotional awareness and affect tolerance.,Randomized-trial evidence,RCT,10.4088/JCP.13m08561,yoga,N,Clinical Research,,N,
/mom-meditation-microsite/research/yoga-based-intervention-for-carpal-tunnel-syndrome-a-randomized-trial/,"The yoga group had significantly more improvement in Phalen sign (12 improved vs 2 in control group; P = .008), but no significant differences were found in sleep disturbance, Tinel sign, and median nerve motor and sensory conduction time.",Randomized-trial evidence,RCT,10.1001/jama.280.18.1601,yoga,N,Sleep,,N,
/mom-meditation-microsite/research/yoga-for-anxiety-a-systematic-review-and-meta-analysis-of-randomized-c/,Only three RCTs reported safety-related data but these indicated that yoga was not associated with increased injuries.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1002/da.22762,yoga,N,Clinical Research,,N,
/mom-meditation-microsite/research/yoga-for-anxiety-a-systematic-review-and-meta-analysis-of-randomized-c/,"In conclusion, yoga might be an effective and safe intervention for individuals with elevated levels of anxiety.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1002/da.22762,yoga,N,Clinical Research,,N,
/mom-meditation-microsite/research/yoga-for-anxiety-a-systematic-review-and-meta-analysis-of-randomized-c/,There was inconclusive evidence for effects of yoga in anxiety disorders.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1002/da.22762,yoga,N,Clinical Research,,N,
/mom-meditation-microsite/research/yoga-for-breast-cancer-patients-and-survivors-a-systematic-review-and-/,"Short-term effects on psychological health also were found: anxiety (SMD = -1.51 [95% CI: -2.47; -0.55]; P < 0.01), depression (SMD = -1.59 [95% CI: -2.68 to -0.51]; P < 0.01), perceived stress (SMD = -1.14 [95% CI:-2.16; -0.12]; P = 0.03), and psychological distress (SMD = -0.86 [95% CI:-1.50; -0.22]; P < 0.01).",Meta-analytic evidence,Meta-analysis / Systematic review,10.1186/1471-2407-12-412,yoga,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/yoga-for-breast-cancer-patients-and-survivors-a-systematic-review-and-/,Subgroup analyses revealed evidence of efficacy only for yoga during active cancer treatment but not after completion of active treatment.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1186/1471-2407-12-412,yoga,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/yoga-for-breast-cancer-patients-and-survivors-a-systematic-review-and-/,This systematic review found evidence for short-term effects of yoga in improving psychological health in breast cancer patients.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1186/1471-2407-12-412,yoga,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/yoga-for-chronic-non-specific-low-back-pain/,"Low-certainty evidence from five trials showed that there was little or no difference between yoga and exercise in the risk of adverse events at six to 12 months (RR 0.93, 95% CI 0.56 to 1.53; 84/1000 with yoga and 91/1000 with non-yoga exercise; 640 participants).",Meta-analytic evidence,Meta-analysis / Systematic review,10.1002/14651858.CD010671.pub3,Qigong,N,Emotional Wellbeing,,N,
/mom-meditation-microsite/research/yoga-for-chronic-non-specific-low-back-pain/,There is low- to moderate-certainty evidence that yoga compared to no exercise results in small and clinically unimportant improvements in back-related function and pain.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1002/14651858.CD010671.pub3,Qigong,N,Emotional Wellbeing,,N,
/mom-meditation-microsite/research/yoga-for-chronic-non-specific-low-back-pain/,"Yoga is associated with more adverse events than no exercise, but may have the same risk of adverse events as other exercise.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1002/14651858.CD010671.pub3,Qigong,N,Emotional Wellbeing,,N,
/mom-meditation-microsite/research/yoga-for-depression-a-systematic-review-and-meta-analysis/,"Regarding severity of depression, there was moderate evidence for short-term effects of yoga compared to usual care (standardized mean difference (SMD) = -0.69; 95% confidence interval (CI) -0.99, -0.39; P < .001), and limited evidence compared to relaxation (SMD = -0.62; 95%CI -1.03, -0.22; P = .003), and aerobic exercise (SMD = -0.59; 95% CI -0.99, -0.18; P = .004).",Meta-analytic evidence,Meta-analysis / Systematic review,10.1002/da.22166,yoga,N,Clinical Research,,N,
/mom-meditation-microsite/research/yoga-for-depression-a-systematic-review-and-meta-analysis/,"Limited evidence was found for short-term effects of yoga on anxiety compared to relaxation (SMD = -0.79; 95% CI -1.3, -0.26; P = .004).",Meta-analytic evidence,Meta-analysis / Systematic review,10.1002/da.22166,yoga,N,Clinical Research,,N,
/mom-meditation-microsite/research/yoga-for-depression-a-systematic-review-and-meta-analysis/,Subgroup analyses revealed evidence for effects in patients with depressive disorders and in individuals with elevated levels of depression.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1002/da.22166,yoga,N,Clinical Research,,N,
/mom-meditation-microsite/research/yoga-for-improving-health-related-quality-of-life-mental-health-and-ca/,"No trial adequately reported safety-related data.Three studies that compared yoga versus exercise presented very low-quality evidence showing no short-term effects on health-related quality of life (pooled SMD -0.04, 95% CI -0.30 to 0.23; three studies, 233 participants) or fatigue (pooled SMD -0.21, 95% CI -0.66 to 0.25; three studies, 233 participants); no trial provided safety-related data.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1002/14651858.CD010802.pub2,yoga,adjacent,Sleep,,N,
/mom-meditation-microsite/research/yoga-for-improving-health-related-quality-of-life-mental-health-and-ca/,"Moderate-quality evidence supports the recommendation of yoga as a supportive intervention for improving health-related quality of life and reducing fatigue and sleep disturbances when compared with no therapy, as well as for reducing depression, anxiety and fatigue, when compared with psychosocial/educational interventions.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1002/14651858.CD010802.pub2,yoga,adjacent,Sleep,,N,
/mom-meditation-microsite/research/yoga-for-improving-health-related-quality-of-life-mental-health-and-ca/,Very low-quality evidence suggests that yoga might be as effective as other exercise interventions and might be used as an alternative to other exercise programmes.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1002/14651858.CD010802.pub2,yoga,adjacent,Sleep,,N,
/mom-meditation-microsite/research/yoga-for-treating-low-back-pain-a-systematic-review-and-meta-analysis/,"However, the evidence was judged to be of only low to moderate certainty.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1097/j.pain.0000000000002416,yoga,N,Clinical Research,,N,
/mom-meditation-microsite/research/yoga-for-treating-low-back-pain-a-systematic-review-and-meta-analysis/,"Compared with passive control, yoga was associated with short-term improvements in pain intensity (15 RCTs; mean difference [MD] = -0.74 points on a numeric rating scale; 95% confidence interval [CI] = -1.04 to -0.44; standardized mean difference [SMD] = -0.37 95% CI = -0.52 to -0.22), pain-related disability (15 RCTs; MD = -2.28; 95% CI = -3.30 to -1.26; SMD = -0.38 95% CI = -0.55 to -0.21), ment",Meta-analytic evidence,Meta-analysis / Systematic review,10.1097/j.pain.0000000000002416,yoga,N,Clinical Research,,N,
/mom-meditation-microsite/research/yoga-for-treating-low-back-pain-a-systematic-review-and-meta-analysis/,"Compared with an active comparator, yoga was not associated with any significant differences in short-term or long-term outcomes.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1097/j.pain.0000000000002416,yoga,N,Clinical Research,,N,
/mom-meditation-microsite/research/yoga-mindfulness-based-stress-reduction-and-stress-related-physiologic/,"Interventions that included yoga asanas were associated with reduced evening cortisol, waking cortisol, ambulatory systolic blood pressure, resting heart rate, high frequency heart rate variability, fasting blood glucose, cholesterol and low density lipoprotein, compared to active control.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.psyneuen.2017.08.008,yoga,N,Clinical Research,,N,
/mom-meditation-microsite/research/yoga-mindfulness-based-stress-reduction-and-stress-related-physiologic/,Practices that include yoga asanas appear to be associated with improved regulation of the sympathetic nervous system and hypothalamic-pituitary-adrenal system in various populations.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.psyneuen.2017.08.008,yoga,N,Clinical Research,,N,
/mom-meditation-microsite/research/yoga-nidra-for-hypertension-a-systematic-review-and-meta-analysis/,"The meta-analysis indicated that YN significantly reduced SBP (WMD = 12.03 mm Hg, 95% CI [7.12, 16.93], Z = 4.80, p < 0.00001) and DBP (WMD = 6.32 mm Hg, 95% CI [3.53, 9.12], Z = 4.43, p < 0.00001) compared to control groups.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.jaim.2023.100882,Yoga Nidra,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/yoga-nidra-for-hypertension-a-systematic-review-and-meta-analysis/,This systematic review and meta-analysis provides evidence supporting the efficacy of YN as a complementary therapy for hypertension management.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.jaim.2023.100882,Yoga Nidra,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/yoga-nidra-for-hypertension-a-systematic-review-and-meta-analysis/,"This meta-analysis suggests that YN is effective in reducing SBP and DBP, particularly in individuals with hypertension.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.jaim.2023.100882,Yoga Nidra,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/yoga-physical-therapy-or-education-for-chronic-low-back-pain-a-randomi/,"Yoga is effective for mild to moderate chronic low back pain (cLBP), but its comparative effectiveness with physical therapy (PT) is unknown.",Randomized-trial evidence,RCT,10.7326/M16-2579,yoga,N,Clinical Research,,N,
/mom-meditation-microsite/research/yoga-physical-therapy-or-education-for-chronic-low-back-pain-a-randomi/,"Moreover, little is known about yoga's effectiveness in underserved patients with more severe functional disability and pain.",Randomized-trial evidence,RCT,10.7326/M16-2579,yoga,N,Clinical Research,,N,
/mom-meditation-microsite/research/yoga-research-review/,The methods and results of those studies are briefly summarized along with their limitations and suggestions for future research.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.ctcp.2016.06.005,yoga,N,Clinical Research,,N,
